,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
0,608,2007-09-02 17:29:14.789900,15779217,-117.477,33.732167,12.192,12.58731,4.73,9.407741
1,608,2007-09-25 22:38:23.890000,15746175,-117.4654,33.7621,9.8,11.134969,4.6,9.357523
2,608,2007-09-02 17:29:12.279900,15779215,-117.7349,33.4227,2.9,46.765356,4.8,8.658485
3,608,2007-09-25 22:38:23.960000,15746176,-117.4705,33.737167,9.268,12.576072,3.94,8.322515
4,608,2007-09-02 17:29:12.279900,15779216,-117.7349,33.4227,2.8778,46.765356,4.43,8.10351
5,608,2007-09-12 11:30:25.640000,15764824,-117.483333,33.730667,10.602,12.349932,3.79,8.06188
6,608,2007-09-05 15:16:47.809900,15774806,-117.476833,33.7345,4.092,12.400132,3.5,7.818256
7,608,2007-09-12 11:30:24.699800,15764823,-117.5042,33.7135,14.5754,12.969821,3.7,7.769464
8,608,2007-09-12 11:30:24.699800,15764822,-117.5042,33.7135,14.6,12.969821,3.7,7.768646
9,608,2007-09-05 15:16:47.000000,15774804,-117.47,33.736,1.3,12.70179,3.4,7.687745
10,608,2007-09-05 15:16:47.000000,15774805,-117.47,33.736,1.3,12.70179,3.4,7.687745
11,608,2007-09-12 14:21:40.500000,15765112,-117.484,33.733333,11.072,12.077986,3.29,7.306109
12,608,2007-09-12 14:21:40.500000,15765113,-117.484,33.733,11.5,12.107144,3.2,7.154656
13,608,2007-09-12 14:21:40.500000,15765111,-117.484,33.733,11.5,12.107144,3.2,7.154656
14,607,2008-12-06 04:18:43.380000,15024893,-116.4538,34.7163,10.0,88.36348,5.1,8.551928
15,607,2009-01-09 03:49:46.269900,14968423,-117.304167,34.107333,13.823,26.618831,4.45,8.520932
16,607,2009-01-09 03:49:45.809900,14968421,-117.3293,34.0356,12.5,28.951112,4.4,8.402431
17,607,2008-12-06 04:18:42.849900,15024892,-116.418833,34.813333,6.37,99.038443,5.06,8.396599
18,607,2009-01-09 03:49:45.809900,14968422,-117.3293,34.0356,12.4509,28.951112,4.32,8.282967
19,607,2008-12-06 04:18:43.380000,15024894,-116.4538,34.7163,10.0,88.36348,4.78,8.071928
20,607,2008-11-17 12:35:42.259900,15054387,-116.861333,33.499667,10.839,65.314298,4.11,7.323185
21,607,2009-01-11 01:06:00.079900,14965484,-116.9155,34.308167,5.774,27.865984,3.6,7.291594
22,607,2009-01-11 01:05:59.779900,14965483,-116.9067,34.3033,7.4889,27.647509,3.6,7.285938
23,607,2009-01-11 01:05:59.779900,14965482,-116.9067,34.3033,7.5,27.647509,3.6,7.28585
24,607,2008-11-19 00:54:50.229800,15050588,-117.037667,34.133167,3.32,6.990641,2.84,7.282635
25,607,2008-11-19 00:54:50.229800,15050589,-117.038,34.133,4.4,6.980678,2.8,7.166918
26,607,2008-11-19 00:54:50.229800,15050587,-117.038,34.133,4.4,6.980678,2.8,7.166918
27,607,2008-12-10 00:29:26.210000,15018001,-117.376667,34.163167,7.202,34.508248,3.63,7.150638
28,607,2008-12-10 00:29:25.579900,15018000,-117.3832,34.1376,7.8566,34.378958,3.6,7.105306
29,607,2008-12-10 00:29:25.579900,15017999,-117.3832,34.1376,7.9,34.378958,3.6,7.105067
30,707,2011-12-02 00:55:23.160000,4205721,121.428,22.985,13.6,27.419127,4.9,9.178368
31,707,2011-12-02 00:55:23.539900,4205722,121.4506,22.9914,15.7,28.064545,4.9,9.135434
32,707,2011-12-02 00:55:23.539900,4205723,121.4506,22.9914,15.7467,28.064545,4.72,8.864817
33,707,2011-09-09 05:52:17.949800,4426668,121.238,22.731,10.0,52.25556,4.5,8.098115
34,707,2011-12-05 12:30:44.819900,4199412,121.3707,23.3475,13.1951,18.390906,4.0,8.090445
35,707,2011-12-05 12:30:44.819900,4199411,121.3707,23.3475,13.2,18.390906,4.0,8.090335
36,707,2011-09-22 01:00:59.579900,4393437,121.6539,23.761,30.9,72.59001,4.6,7.905922
37,707,2011-09-22 01:00:59.000000,4393436,121.67,23.78,26.0,75.242783,4.6,7.898084
38,707,2011-10-10 16:33:32.769900,4348544,121.346,22.827,13.3,41.624719,4.1,7.669079
39,707,2011-11-19 07:43:02.769900,4241369,121.652,23.856,32.6,81.779586,4.3,7.360661
40,707,2011-09-22 01:00:59.579900,4393438,121.6539,23.761,30.938,72.59001,4.21,7.320758
41,707,2011-10-08 11:39:15.799900,4353413,121.67,23.753,27.2,72.679624,4.2,7.320247
42,707,2011-11-19 07:43:03.470000,4241370,121.6725,23.8877,35.0,85.865394,4.3,7.315609
43,707,2011-10-09 15:54:25.239900,4351250,121.0768,22.4995,14.0,80.794559,4.2,7.272388
44,707,2011-11-10 12:45:04.829900,4266471,120.915,23.081,5.8,40.814297,3.8,7.269692
45,707,2011-11-10 12:45:04.829900,4266472,120.915,23.081,5.84,40.814297,3.8,7.269573
46,707,2011-10-10 16:33:29.949800,4348541,121.3846,22.587,13.6,68.601135,4.1,7.260596
47,707,2011-09-09 06:22:53.899800,4426712,120.99,22.35,10.5,99.306781,4.3,7.251214
48,707,2011-12-11 05:56:49.469800,4183238,121.4437,23.0861,23.3,19.795971,3.6,7.229295
49,707,2011-12-11 05:56:49.469800,4183239,121.4437,23.0861,23.3213,19.795971,3.6,7.228834
50,707,2011-12-06 07:53:16.759900,4196213,120.9483,23.0764,10.7546,37.784133,3.74,7.221549
51,707,2011-10-09 15:54:22.899800,4351249,121.215,22.416,1.7,87.343949,4.2,7.21737
52,707,2011-09-19 09:13:31.579900,4401639,121.377,23.158,19.9,9.654316,3.4,7.2105
53,707,2011-10-09 15:54:25.239900,4351251,121.0768,22.4995,13.9733,80.794559,4.14,7.182436
54,707,2011-12-06 07:53:16.759900,4196212,120.9483,23.0764,10.8,37.784133,3.7,7.161274
55,707,2011-10-23 22:22:07.799900,4318627,121.487,23.146,14.69,20.635858,3.43,7.137712
56,707,2011-09-19 09:13:31.579900,4401640,121.377,23.158,19.91,9.654316,3.35,7.135146
57,707,2011-10-23 22:22:07.799900,4318626,121.487,23.146,14.7,20.635858,3.4,7.092513
58,707,2011-09-22 04:39:07.440000,4393786,121.3937,22.8317,12.9,42.026957,3.7,7.063841
59,707,2011-11-14 00:57:04.819900,4254562,121.442,23.222,37.85,15.42797,3.63,7.022116
60,707,2011-09-22 04:39:07.440000,4393787,121.3937,22.8317,12.914,42.026957,3.66,7.00376
61,880,2012-08-26 20:57:57.849900,3534122,-115.5541,33.0337,2.4,17.444416,5.5,10.558544
62,880,2012-08-26 19:31:22.369900,3533896,-115.5352,33.0466,2.3,16.771245,5.4,10.442777
63,880,2012-08-26 20:57:58.219800,3534124,-115.540333,33.0185,8.283,19.464437,5.41,10.264234
64,880,2012-08-26 19:31:23.039900,3533898,-115.553667,33.017167,8.323,19.209927,5.32,10.138235
65,880,2012-08-26 19:33:01.089900,3533902,-115.559167,33.0135,4.387,19.462463,4.89,9.535081
66,880,2012-08-27 04:41:37.000000,3529819,-115.5195,33.021167,4.17,19.954273,4.9,9.531364
67,880,2012-08-26 19:31:22.369900,3533897,-115.5352,33.0466,2.3392,16.771245,4.73,9.437502
68,880,2012-08-26 20:57:57.849900,3534123,-115.5541,33.0337,2.4263,17.444416,4.74,9.418366
69,880,2012-08-26 19:33:00.940000,3533901,-115.5529,32.9932,12.5,21.79409,4.9,9.349811
70,880,2012-08-26 23:33:25.129800,3534524,-115.5305,33.028,7.47,18.832481,4.63,9.131726
71,880,2012-08-27 04:41:36.909800,3529818,-115.5877,33.0575,10.0537,14.110646,4.52,9.102608
72,880,2012-08-27 04:41:36.909800,3529817,-115.5877,33.0575,10.1,14.110646,4.5,9.07126
73,880,2012-08-26 19:20:04.809900,3533854,-115.536333,33.015833,4.79,19.873618,4.59,9.063923
74,880,2012-08-26 23:33:25.719800,3534526,-115.5758,32.9958,13.6024,21.060375,4.63,8.94665
75,880,2012-08-26 23:33:25.719800,3534525,-115.5758,32.9958,13.6,21.060375,4.6,8.901695
76,880,2012-08-26 19:20:04.849900,3533855,-115.5666,33.0273,13.2,17.803359,4.5,8.858742
77,880,2012-08-26 21:15:29.149800,3534157,-115.534667,33.037333,4.713,17.726613,4.25,8.648086
78,880,2012-08-26 22:58:41.859800,3534435,-115.5885,32.987667,4.8,21.797372,4.31,8.567626
79,880,2012-08-26 19:20:04.849900,3533856,-115.5666,33.0273,13.153,17.803359,4.3,8.559838
80,880,2012-08-26 19:40:12.920000,3533924,-115.596667,32.986667,9.783,21.841726,4.33,8.537021
81,880,2012-08-28 02:01:19.869900,3527182,-115.568833,33.004333,4.423,20.246958,4.24,8.527035
82,880,2012-08-26 21:15:29.489900,3534158,-115.5457,33.0514,10.0,15.880594,4.1,8.403219
83,880,2012-06-08 03:23:58.200000,3720797,-115.618333,33.177167,1.283,0.781897,2.63,8.391382
84,880,2012-06-08 03:23:58.200000,3720798,-115.618,33.177,1.2,0.777473,2.6,8.38942
85,880,2012-06-08 03:23:58.200000,3720796,-115.618,33.177,1.2,0.777473,2.6,8.38942
86,880,2012-08-28 02:01:19.390000,3527180,-115.5686,33.0071,14.6,19.950322,4.2,8.313834
87,880,2012-08-26 19:40:13.130000,3533925,-115.5941,32.9786,12.8,22.753888,4.2,8.266484
