,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
0,608,2006-07-23 15:58:50.880000,16348959,-117.4938,33.7496,0.4,10.104133,3.6,8.190322
1,608,2006-07-23 15:58:50.880000,16348960,-117.4938,33.7496,0.4476,10.104133,3.6,8.19015
2,608,2007-01-04 22:39:40.189800,16135309,-117.569833,33.820333,-0.819,0.499188,1.79,8.088472
3,608,2006-07-23 15:58:52.450000,16348961,-117.477833,33.73,10.442,12.723692,3.69,7.902147
4,608,2007-05-24 06:15:14.549900,15931906,-117.4009,34.1627,8.2,41.127621,3.9,7.404803
5,608,2007-05-24 06:15:14.549900,15931907,-117.4009,34.1627,8.2338,41.127621,3.9,7.404666
6,608,2007-05-24 06:11:38.890000,15931900,-117.3973,34.1625,9.1768,41.230106,3.9,7.398572
7,608,2007-05-24 06:11:38.890000,15931899,-117.3973,34.1625,9.2,41.230106,3.9,7.398468
8,608,2006-07-10 02:54:43.890000,16365527,-117.112167,33.856,10.953,42.010894,3.9,7.374716
9,608,2007-05-24 06:15:15.579900,15931908,-117.385167,34.196833,12.285,45.189356,3.92,7.338962
10,608,2007-05-24 06:11:39.769900,15931901,-117.386167,34.197167,12.115,45.190174,3.86,7.249769
11,608,2006-07-10 02:54:43.599900,16365526,-117.1321,33.7984,16.7908,40.041737,3.8,7.224626
12,608,2006-07-10 02:54:43.599900,16365525,-117.1321,33.7984,16.8,40.041737,3.8,7.224555
13,607,2008-07-29 18:42:15.669800,15248711,-117.766333,33.9485,15.503,70.320727,5.44,9.245222
14,607,2008-07-29 18:42:16.099900,15248712,-117.873,33.8269,16.2,83.437941,5.5,9.191202
15,607,2008-10-02 09:41:48.289900,15139888,-116.9801,34.059,6.4,3.812731,4.0,9.055731
16,607,2008-10-02 09:41:48.289900,15139889,-116.9801,34.059,6.4096,3.812731,3.99,9.03977
17,607,2008-07-29 18:42:16.099900,15248713,-117.873,33.8269,16.23,83.437941,5.35,8.966144
18,607,2008-10-02 09:41:49.269900,15139890,-116.967833,34.083833,11.345,4.809835,4.14,8.828604
19,607,2007-12-19 12:14:09.630000,15630005,-116.981333,34.156167,7.817,9.913525,4.06,8.687557
20,607,2007-12-19 12:14:08.650000,15630003,-116.9858,34.1294,6.9,7.005104,3.9,8.664657
21,607,2007-12-19 12:14:08.650000,15630004,-116.9858,34.1294,6.8688,7.005104,3.88,8.636591
22,607,2008-05-09 22:38:07.379800,15399495,-116.4148,33.4251,9.7,91.06528,4.9,8.226395
23,607,2007-10-16 08:53:43.059900,15715895,-117.6504,34.3531,2.4659,65.982039,4.55,7.985542
24,607,2008-06-23 14:14:57.599900,15313480,-117.2465,34.047667,14.102,21.209988,3.99,7.972936
25,607,2008-03-09 09:22:32.079900,15506960,-117.465,34.139,3.141,41.798135,3.97,7.510241
26,607,2008-03-09 09:22:31.940000,15506958,-117.4935,34.0915,10.0,43.824628,4.0,7.49452
27,607,2008-03-09 09:22:31.940000,15506959,-117.4935,34.0915,10.0,43.824628,4.0,7.49452
28,607,2007-10-16 08:53:44.119800,15715896,-117.634667,34.385333,6.367,66.504698,4.2,7.450333
29,607,2008-06-23 14:14:56.469800,15313479,-117.2586,34.0089,11.0,23.248802,3.6,7.379466
30,607,2007-10-16 08:53:43.059900,15715894,-117.6504,34.3531,2.5,65.982039,4.1,7.310526
31,607,2008-03-06 00:14:25.940000,15511032,-116.8507,34.3091,12.9953,30.497322,3.7,7.309016
32,607,2008-03-06 00:14:25.940000,15511031,-116.8507,34.3091,13.0,30.497322,3.7,7.308968
33,607,2008-06-02 05:13:16.140000,15355689,-117.143,34.022,5.9,12.79132,3.2,7.302397
34,607,2008-06-02 05:13:16.140000,15355687,-117.143,34.022,5.9,12.79132,3.2,7.302397
35,607,2008-03-06 00:14:26.929800,15511033,-116.8575,34.298167,12.129,29.13275,3.66,7.291815
36,607,2008-09-04 08:42:03.740000,15186258,-117.118667,34.005167,12.307,11.899078,3.29,7.268058
37,607,2008-09-04 08:42:03.740000,15186259,-117.119,34.005,13.1,11.934625,3.3,7.253008
38,607,2008-09-04 08:42:03.740000,15186257,-117.119,34.005,13.1,11.934625,3.3,7.253008
39,607,2008-06-02 05:13:16.140000,15355688,-117.143333,34.021833,5.352,12.827055,3.14,7.224044
40,607,2008-05-01 03:55:35.969800,15414342,-116.454,33.443,9.248,87.284127,4.19,7.198281
41,607,2008-05-08 23:44:14.949800,15401550,-117.1435,34.019833,5.365,12.939908,3.1,7.157247
42,607,2008-05-08 23:44:14.949800,15401551,-117.143,34.02,5.9,12.890426,3.1,7.146862
43,607,2008-05-08 23:44:14.949800,15401549,-117.143,34.02,5.9,12.890426,3.1,7.146862
44,607,2008-07-21 20:21:00.549900,15263072,-116.905333,34.115167,4.475,11.429388,3.01,7.137012
45,607,2008-07-21 20:21:00.549900,15263073,-116.905,34.115,5.6,11.449632,3.0,7.089269
46,607,2008-07-21 20:21:00.549900,15263071,-116.905,34.115,5.6,11.449632,3.0,7.089269
47,607,2008-05-09 22:38:08.349900,15399496,-116.4555,33.445833,9.268,86.948174,4.06,7.006572
48,707,2011-07-12 11:17:11.019900,4578033,121.519,23.43,34.9,34.579813,5.0,8.917303
49,707,2011-07-12 11:17:11.079900,4578035,121.5808,23.4961,33.975,44.260943,5.04,8.866775
50,707,2011-07-12 11:17:11.079900,4578034,121.5808,23.4961,34.0,44.260943,5.0,8.806538
51,707,2011-08-25 09:35:10.859800,4462096,121.923,23.025,10.0,67.219638,4.9,8.485501
52,707,2011-08-25 09:35:10.390000,4462094,121.9953,23.0948,4.4,72.692471,4.9,8.425433
